,romance,non-romance
aaawww,0.0,0.0004337284661389937
aah,0.0,0.0004337284661389937
aaron,0.0,0.0008674569322779874
ab,0.0,0.0004337284661389937
ab63711-r,0.0,0.0004337284661389937
aback,0.0006345963443226194,0.0003086013758981301
abandon,0.0006345963443226194,0.0018516082553887807
abandoning,0.0,0.0004337284661389937
abate,0.0,0.0004337284661389937
abc,0.0,0.0004337284661389937
abdomen,0.0,0.0004337284661389937
abdominal,0.0,0.0004337284661389937
abe,0.0,0.0004337284661389937
abel,0.0,0.001301185398416981
abel's,0.0,0.0004337284661389937
abernathy,0.0017838060393568723,0.0
abernathys,0.0008919030196784362,0.0
aberration,0.0,0.0004337284661389937
abet,0.0,0.0004337284661389937
ability,0.0019037890329678582,0.0003086013758981301
ablaze,0.0,0.0004337284661389937
able,0.006980559787548813,0.008023635773351382
aboard,0.0025383853772904777,0.0009258041276943903
abortion,0.0,0.0004337284661389937
about,0.0006345963443226194,0.003394615134879431
about-face,0.0,0.0008674569322779874
above,0.0019037890329678582,0.0012344055035925204
abraham,0.0,0.0008674569322779874
abreast,0.0006345963443226194,0.0003086013758981301
abroad,0.0,0.0004337284661389937
abrupt,0.0006345963443226194,0.0003086013758981301
abruptly,0.0019037890329678582,0.0024688110071850408
absence,0.0,0.0021686423306949685
absent,0.0012691926886452389,0.0009258041276943903
absent-minded,0.0006345963443226194,0.0003086013758981301
absent-mindedly,0.0,0.0004337284661389937
absently,0.0,0.001301185398416981
absentmindedly,0.0,0.0004337284661389937
absolute,0.0006345963443226194,0.0003086013758981301
absolutely,0.0012691926886452389,0.0009258041276943903
absolution,0.0017838060393568723,0.0
absorb,0.0025383853772904777,0.0006172027517962602
absorber,0.0,0.0004337284661389937
abstract,0.0006345963443226194,0.0009258041276943903
abstractly,0.0,0.0004337284661389937
absurd,0.0019037890329678582,0.0003086013758981301
absurdity,0.0006345963443226194,0.0003086013758981301
absurdly,0.0008919030196784362,0.0
abundance,0.0006345963443226194,0.0006172027517962602
abundant,0.0,0.0004337284661389937
abundantly,0.0,0.0004337284661389937
abuse,0.0,0.001301185398416981
abyssinians,0.0,0.0004337284661389937
academeh,0.0,0.0004337284661389937
academic,0.0,0.0004337284661389937
academy,0.0,0.0004337284661389937
acala,0.004459515098392181,0.0
acapulco,0.0,0.0004337284661389937
accacia,0.0,0.0017349138645559748
acceleration,0.0,0.001301185398416981
accelerator,0.0,0.0008674569322779874
accent,0.0,0.0008674569322779874
accept,0.0038075780659357164,0.003394615134879431
acceptance,0.0019037890329678582,0.0003086013758981301
access,0.0,0.0004337284661389937
accident,0.0006345963443226194,0.003394615134879431
accidentally,0.0,0.0004337284661389937
accommodate,0.0,0.0008674569322779874
accommodation,0.0,0.0004337284661389937
accompaniment,0.0008919030196784362,0.0
accompany,0.0019037890329678582,0.0012344055035925204
accomplice,0.0,0.0004337284661389937
accomplish,0.0006345963443226194,0.0012344055035925204
accomplishment,0.0,0.001301185398416981
accordance,0.0006345963443226194,0.0006172027517962602
according,0.0006345963443226194,0.0024688110071850408
accost,0.0,0.0004337284661389937
account,0.0025383853772904777,0.0030860137589813013
accuracy,0.0,0.0004337284661389937
accurate,0.0017838060393568723,0.0
accurately,0.0,0.0004337284661389937
accusation,0.0,0.0008674569322779874
accuse,0.0025383853772904777,0.0018516082553887807
accustom,0.0006345963443226194,0.0012344055035925204
ace,0.0,0.0030360992629729563
acey,0.0,0.001301185398416981
ache,0.0006345963443226194,0.0015430068794906506
achieve,0.0006345963443226194,0.0006172027517962602
achievement,0.0,0.0004337284661389937
acid,0.0,0.0008674569322779874
ackerly,0.0,0.0004337284661389937
acknowledge,0.0006345963443226194,0.0006172027517962602
acknowledgement,0.0,0.0008674569322779874
acknowledgment,0.0008919030196784362,0.0
acourse,0.0,0.0004337284661389937
acquaint,0.0006345963443226194,0.0006172027517962602
acquaintance,0.0,0.0004337284661389937
acquire,0.0012691926886452389,0.0006172027517962602
acquiring,0.0,0.0004337284661389937
acre,0.0006345963443226194,0.0012344055035925204
acreage,0.0,0.0004337284661389937
acrid,0.0,0.0004337284661389937
across,0.012691926886452388,0.02684831970313732
act,0.0025383853772904777,0.008949439901045773
acting,0.0006345963443226194,0.0009258041276943903
action,0.003172981721613097,0.005246223390268212
action-packed,0.0,0.0004337284661389937
activate,0.0,0.0008674569322779874
active,0.0019037890329678582,0.0009258041276943903
actively,0.0,0.0004337284661389937
activities,0.0,0.0004337284661389937
activity,0.0025383853772904777,0.002777412383083171
actor,0.0,0.0039035561952509433
actress,0.0006345963443226194,0.0012344055035925204
actual,0.0,0.001301185398416981
actuality,0.0,0.0008674569322779874
actually,0.006345963443226194,0.006480628893860732
actuate,0.0,0.0004337284661389937
acute,0.0017838060393568723,0.0
ad,0.0006345963443226194,0.0024688110071850408
ad-lib,0.0,0.0004337284661389937
adam,0.005351418118070617,0.0
adamant,0.0008919030196784362,0.0
adams,0.0006345963443226194,0.0018516082553887807
adams's,0.0,0.0004337284661389937
adapt,0.0,0.0004337284661389937
adaptation,0.0,0.0008674569322779874
add,0.008884348820516672,0.008332237149249513
added,0.0,0.0004337284661389937
addict,0.0,0.0004337284661389937
addition,0.0006345963443226194,0.0015430068794906506
additional,0.0006345963443226194,0.0003086013758981301
additionally,0.0,0.0004337284661389937
address,0.0038075780659357164,0.0049376220143700815
adele,0.0008919030196784362,0.0
adelia,0.004459515098392181,0.0
adequate,0.0,0.0004337284661389937
adherence,0.0,0.0004337284661389937
adhesive,0.0017838060393568723,0.0
adios,0.0,0.0004337284661389937
adjacent,0.0,0.0004337284661389937
adjective,0.0,0.0004337284661389937
adjoin,0.0,0.0008674569322779874
adjudge,0.0,0.0004337284661389937
adjust,0.0,0.002602370796833962
adjustable,0.0,0.0004337284661389937
adjustment,0.0,0.0004337284661389937
admassy,0.0,0.0008674569322779874
admassy's,0.0,0.0008674569322779874
administer,0.0,0.001301185398416981
administration,0.0006345963443226194,0.0003086013758981301
administrator,0.0,0.0008674569322779874
admirable,0.0,0.0004337284661389937
admirably,0.0,0.0004337284661389937
admiration,0.0008919030196784362,0.0
admire,0.003172981721613097,0.0009258041276943903
admirer,0.0008919030196784362,0.0
admiringly,0.0008919030196784362,0.0
admit,0.006345963443226194,0.005554824766166342
admonish,0.0,0.0004337284661389937
adopt,0.0008919030196784362,0.0
adore,0.0,0.0004337284661389937
adrien,0.0017838060393568723,0.0
adulation,0.0,0.0004337284661389937
adult,0.0012691926886452389,0.0006172027517962602
advance,0.0,0.0034698277291119496
advancement,0.0008919030196784362,0.0
advantage,0.0006345963443226194,0.0018516082553887807
adventure,0.0006345963443226194,0.002160209631286911
adventurous,0.0017838060393568723,0.0
adverb,0.0,0.0004337284661389937
adversary,0.0,0.0004337284661389937
advertise,0.0025383853772904777,0.0024688110071850408
advertising,0.0012691926886452389,0.0003086013758981301
advice,0.0025383853772904777,0.003394615134879431
advisability,0.0,0.0004337284661389937
advise,0.0006345963443226194,0.0024688110071850408
advocate,0.0008919030196784362,0.0
af,0.0,0.0004337284661389937
affair,0.0025383853772904777,0.004011817886675691
affect,0.0019037890329678582,0.0006172027517962602
affectation,0.0,0.0004337284661389937
affection,0.0012691926886452389,0.0003086013758981301
affectionate,0.0012691926886452389,0.0003086013758981301
affectionately,0.0,0.0004337284661389937
affiance,0.0,0.0004337284661389937
affirm,0.0,0.0004337284661389937
affluence,0.0,0.0004337284661389937
affluent,0.0,0.0004337284661389937
afford,0.0012691926886452389,0.0018516082553887807
affront,0.0,0.0004337284661389937
afghan,0.0,0.0004337284661389937
afire,0.0,0.0004337284661389937
aforementioned,0.0,0.0004337284661389937
aforethought,0.0,0.0004337284661389937
afraid,0.006980559787548813,0.0018516082553887807
africa,0.0,0.0004337284661389937
african,0.0006345963443226194,0.0006172027517962602
afrika,0.0,0.0004337284661389937
aft,0.0006345963443226194,0.0003086013758981301
after,0.006980559787548813,0.014195663291313986
after-duty,0.0008919030196784362,0.0
after-hours,0.0,0.0004337284661389937
afternoon,0.007615156131871433,0.009258041276943903
afternoon's,0.0008919030196784362,0.0
afterward,0.0006345963443226194,0.0006172027517962602
afterwards,0.0019037890329678582,0.0006172027517962602
aftuh,0.0,0.0004337284661389937
again,0.0019037890329678582,0.002160209631286911
against,0.0006345963443226194,0.0006172027517962602
age,0.013326523230775008,0.004629020638471952
ageless,0.0,0.0004337284661389937
agency,0.0025383853772904777,0.0018516082553887807
agent,0.0,0.0008674569322779874
ages,0.0008919030196784362,0.0
aggressive,0.0006345963443226194,0.0003086013758981301
aggrieve,0.0,0.0004337284661389937
agile,0.0,0.0004337284661389937
agin,0.0,0.0008674569322779874
aging,0.0,0.0004337284661389937
agitation,0.0,0.0008674569322779874
agnese,0.0035676120787137447,0.0
ago,0.005711367098903575,0.015121467419008376
agoeng,0.0,0.0004337284661389937
agony,0.0019037890329678582,0.0015430068794906506
agree,0.003172981721613097,0.0061720275179626026
agreeably,0.0,0.0004337284661389937
agreement,0.0006345963443226194,0.0030860137589813013
agricola,0.0,0.0004337284661389937
agricultural,0.0006345963443226194,0.0003086013758981301
ah,0.003172981721613097,0.0037032165107775614
ah-ah,0.0,0.0004337284661389937
ahah,0.0008919030196784362,0.0
ahead,0.006345963443226194,0.008023635773351382
ahm,0.0,0.0004337284661389937
ahmiri,0.0,0.0004337284661389937
aid,0.0012691926886452389,0.0015430068794906506
aide,0.0006345963443226194,0.0003086013758981301
ailment,0.0008919030196784362,0.0
aim,0.0,0.005638470059806918
aimless,0.0006345963443226194,0.0006172027517962602
ain't,0.0025383853772904777,0.010183845404638294
ainu,0.0008919030196784362,0.0
ainus,0.0008919030196784362,0.0
air,0.013326523230775008,0.014504264667212115
aircraft,0.0012691926886452389,0.002160209631286911
airily,0.0,0.0004337284661389937
airless,0.0,0.0008674569322779874
airline,0.0008919030196784362,0.0
airlock,0.0,0.0004337284661389937
airplane,0.0006345963443226194,0.0009258041276943903
airport,0.0006345963443226194,0.0003086013758981301
airspeed,0.0,0.0004337284661389937
airstrip,0.0,0.0004337284661389937
airy,0.0012691926886452389,0.0003086013758981301
aisle,0.0,0.0008674569322779874
aj,0.0,0.0017349138645559748
ajar,0.0017838060393568723,0.0
akita,0.0008919030196784362,0.0
aku,0.0,0.0004337284661389937
al,0.0,0.0008674569322779874
ala,0.0006345963443226194,0.0003086013758981301
alabama,0.0008919030196784362,0.0
alai,0.0,0.0004337284661389937
alarm,0.0012691926886452389,0.002160209631286911
alaska,0.0017838060393568723,0.0
albany,0.0,0.001301185398416981
albert,0.0,0.0008674569322779874
alberto,0.0017838060393568723,0.0
alcohol,0.0006345963443226194,0.0006172027517962602
alcoholic,0.0017838060393568723,0.0
alcoholism,0.0008919030196784362,0.0
alcorn,0.0008919030196784362,0.0
ale,0.0008919030196784362,0.0
alec,0.0,0.010843211653474844
alec's,0.0,0.0021686423306949685
aleck,0.0006345963443226194,0.0003086013758981301
alert,0.0006345963443226194,0.003394615134879431
alertly,0.0,0.0004337284661389937
alertness,0.0,0.0004337284661389937
alex,0.0017838060393568723,0.0
alexander,0.012691926886452388,0.0009258041276943903
alexander's,0.0017838060393568723,0.0
alfredo,0.0,0.0008674569322779874
algae,0.0,0.0004337284661389937
aliah,0.0008919030196784362,0.0
alias,0.0,0.0004337284661389937
alibi,0.0006345963443226194,0.0018516082553887807
alice,0.005076770754580955,0.0003086013758981301
alicia,0.0,0.0017349138645559748
alien,0.0012691926886452389,0.0018516082553887807
alike,0.0006345963443226194,0.0003086013758981301
alimony,0.0006345963443226194,0.0003086013758981301
alison,0.0,0.0004337284661389937
alive,0.006345963443226194,0.005554824766166342
all,0.020941679362646442,0.015430068794906505
all-american-boy,0.0008919030196784362,0.0
all-female,0.0,0.0004337284661389937
all-knowing,0.0,0.0004337284661389937
all-lesbian,0.0008919030196784362,0.0
all-pervading,0.0,0.0004337284661389937
allah,0.0,0.0004337284661389937
allegheny,0.0008919030196784362,0.0
allen's,0.0,0.0004337284661389937
allergic,0.0008919030196784362,0.0
allergy,0.0,0.0004337284661389937
alleviate,0.0,0.0008674569322779874
alley,0.0025383853772904777,0.0003086013758981301
alleyway,0.0008919030196784362,0.0
alliance,0.0,0.0004337284661389937
alligator,0.0012691926886452389,0.0006172027517962602
allons,0.0008919030196784362,0.0
allot,0.0,0.0004337284661389937
allow,0.0019037890329678582,0.002777412383083171
allowance,0.0,0.0004337284661389937
alloy,0.0017838060393568723,0.0
allstates,0.0035676120787137447,0.0
allstates',0.0008919030196784362,0.0
allstates-zenith,0.0008919030196784362,0.0
allure,0.0,0.0004337284661389937
allusion,0.0,0.0004337284661389937
ally,0.0017838060393568723,0.0
alma,0.006243321137749054,0.0
almost,0.01205733054212977,0.02684831970313732
aloft,0.0,0.0004337284661389937
alokut,0.0008919030196784362,0.0
alone,0.015230312263742865,0.012344055035925205
aloneness,0.0006345963443226194,0.0003086013758981301
along,0.020941679362646442,0.018207481177989676
alongside,0.0006345963443226194,0.0015430068794906506
aloof,0.0,0.0004337284661389937
aloud,0.0012691926886452389,0.0015430068794906506
alps,0.0,0.0004337284661389937
alreadeh,0.0,0.0004337284661389937
already,0.013326523230775008,0.012961257787721465
also,0.01015354150916191,0.020676292185174718
altairians,0.0,0.0004337284661389937
alter,0.0012691926886452389,0.0003086013758981301
alternately,0.0006345963443226194,0.0003086013758981301
alternative,0.0008919030196784362,0.0
although,0.005076770754580955,0.008332237149249513
altitude,0.0,0.0008674569322779874
alto,0.0,0.0004337284661389937
altogether,0.0012691926886452389,0.0009258041276943903
altruistically,0.0,0.0004337284661389937
aluminum,0.0006345963443226194,0.0003086013758981301
alvarez,0.0,0.001301185398416981
always,0.03363360624909883,0.021602096312869107
amado,0.0,0.0004337284661389937
amalgamation,0.0008919030196784362,0.0
amateur,0.0008919030196784362,0.0
amateurishness,0.0,0.0004337284661389937
amatory,0.0,0.0004337284661389937
amaze,0.0019037890329678582,0.0006172027517962602
amazement,0.0012691926886452389,0.0006172027517962602
amazing,0.0,0.0004337284661389937
amazingly,0.0,0.0008674569322779874
amazon,0.0,0.0004337284661389937
ambassador,0.0,0.0008674569322779874
amber,0.0006345963443226194,0.0006172027517962602
ambidextrous,0.0,0.0004337284661389937
ambiguity,0.0,0.0030360992629729563
ambiguous,0.0,0.0021686423306949685
ambition,0.0006345963443226194,0.0015430068794906506
ambitious,0.0008919030196784362,0.0
ambulance,0.0,0.0004337284661389937
ambulatory,0.0,0.0004337284661389937
ambush,0.0,0.001301185398416981
ambushes,0.0,0.0004337284661389937
amelia's,0.0,0.0008674569322779874
amen,0.0,0.0008674569322779874
amend,0.0,0.0004337284661389937
america,0.0025383853772904777,0.0030860137589813013
america's,0.0,0.0004337284661389937
american,0.008884348820516672,0.0049376220143700815
americans,0.0012691926886452389,0.0003086013758981301
amid,0.0,0.0008674569322779874
amigo,0.0,0.0008674569322779874
ammunition,0.0,0.0021686423306949685
among,0.007615156131871433,0.010492446780536424
amoral,0.0,0.0004337284661389937
amorous,0.0,0.0004337284661389937
amount,0.0012691926886452389,0.0030860137589813013
amphibology,0.0,0.0004337284661389937
ample,0.0,0.0004337284661389937
amplifier,0.0,0.0004337284661389937
amulet,0.0006345963443226194,0.0003086013758981301
amuse,0.0006345963443226194,0.0006172027517962602
amusedly,0.0,0.0004337284661389937
amusement,0.0006345963443226194,0.0006172027517962602
amusing,0.0012691926886452389,0.0009258041276943903
amy,0.0,0.0004337284661389937
an,0.004442174410258336,0.005554824766166342
an',0.0012691926886452389,0.0018516082553887807
anachronism,0.0,0.0004337284661389937
anagram,0.0,0.0004337284661389937
analogous,0.0,0.0004337284661389937
analogy,0.0008919030196784362,0.0
analysis,0.0,0.0008674569322779874
analyze,0.0017838060393568723,0.0
anarchy,0.0008919030196784362,0.0
anatomical,0.0,0.0021686423306949685
anatomy,0.0006345963443226194,0.0003086013758981301
ancestor,0.0012691926886452389,0.0006172027517962602
anchor,0.0,0.002602370796833962
ancient,0.0025383853772904777,0.003394615134879431
and,0.0818629284176179,0.05678265316525594
anderson,0.0,0.0008674569322779874
anderson's,0.0,0.0004337284661389937
andrews,0.0008919030196784362,0.0
andy,0.0,0.013445582450308805
andy's,0.0,0.0017349138645559748
anecdote,0.0006345963443226194,0.0003086013758981301
anesthetic,0.0008919030196784362,0.0
anesthetically,0.0,0.0004337284661389937
anew,0.0,0.0004337284661389937
angel,0.0019037890329678582,0.0037032165107775614
angel's,0.0,0.0008674569322779874
angeles,0.0,0.0021686423306949685
angeles-pasadena,0.0,0.0004337284661389937
angelic,0.0,0.0008674569322779874
angelo,0.0,0.0021686423306949685
angelo's,0.0,0.0008674569322779874
angels,0.0,0.0034698277291119496
anger,0.005711367098903575,0.0037032165107775614
angie,0.0,0.007373383924362893
angle,0.0,0.0030360992629729563
angleterre,0.0,0.0004337284661389937
anglo-american,0.0,0.0008674569322779874
anglo-americans,0.0,0.0004337284661389937
angrily,0.0006345963443226194,0.0006172027517962602
angry,0.003172981721613097,0.0049376220143700815
angst,0.0,0.0008674569322779874
anguish,0.0,0.0004337284661389937
animal,0.003172981721613097,0.005246223390268212
animal's,0.0,0.0008674569322779874
animals,0.0,0.0004337284661389937
animate,0.0006345963443226194,0.0006172027517962602
animation,0.0,0.0008674569322779874
animosity,0.0008919030196784362,0.0
ankle,0.0012691926886452389,0.0015430068794906506
ankle-deep,0.0,0.0004337284661389937
ann,0.0,0.002602370796833962
anna,0.0,0.0004337284661389937
annals,0.0,0.0004337284661389937
anne,0.014595715919420247,0.0009258041276943903
anne's,0.0008919030196784362,0.0
annihilation,0.0,0.0004337284661389937
anniston,0.013378545295176543,0.0
anniston's,0.0008919030196784362,0.0
anniversary,0.0,0.0008674569322779874
announce,0.0038075780659357164,0.004629020638471952
announcement,0.0006345963443226194,0.0003086013758981301
annoy,0.0012691926886452389,0.0009258041276943903
annoyance,0.0006345963443226194,0.0009258041276943903
annoying,0.0,0.0008674569322779874
annual,0.0012691926886452389,0.0009258041276943903
anonymous,0.0,0.0021686423306949685
another,0.018403293985355965,0.03116873896571114
another's,0.0,0.0004337284661389937
ansley,0.0,0.0004337284661389937
ansuh,0.0,0.0004337284661389937
answer,0.013961119575097627,0.015738670170804638
ant,0.0,0.0008674569322779874
anta,0.0,0.0021686423306949685
antagonistic,0.0,0.0004337284661389937
antarctica,0.0,0.0004337284661389937
antares,0.0,0.0004337284661389937
anteater,0.0,0.0004337284661389937
anthea,0.0026757090590353084,0.0
anthony,0.0,0.001301185398416981
anthropologist,0.0,0.0004337284661389937
anthropology,0.0,0.0004337284661389937
anti-personality,0.0,0.0004337284661389937
antic,0.0006345963443226194,0.0003086013758981301
anticipate,0.0006345963443226194,0.0009258041276943903
anticipation,0.0,0.0004337284661389937
antidote,0.0,0.0004337284661389937
antietam,0.0,0.0004337284661389937
antique,0.0,0.0021686423306949685
antiquity,0.0,0.0004337284661389937
antiseptic,0.0,0.0004337284661389937
antisocial,0.0006345963443226194,0.0003086013758981301
antler,0.0,0.001301185398416981
antony,0.0,0.0004337284661389937
anxiety,0.0019037890329678582,0.0003086013758981301
anxious,0.0019037890329678582,0.0018516082553887807
anxiously,0.0006345963443226194,0.0006172027517962602
any,0.0006345963443226194,0.0030860137589813013
anybody,0.004442174410258336,0.0037032165107775614
anybody'd,0.0,0.0004337284661389937
anyhow,0.003172981721613097,0.0024688110071850408
anyone,0.006980559787548813,0.008949439901045773
anyone's,0.0,0.0004337284661389937
anyplace,0.0008919030196784362,0.0
anythin,0.0,0.0004337284661389937
anything,0.027922239150195254,0.02623111695134106
anyway,0.007615156131871433,0.006789230269758862
anyways,0.0,0.0004337284661389937
anywhere,0.0038075780659357164,0.0012344055035925204
apache,0.0,0.0004337284661389937
apaches,0.0,0.001301185398416981
apart,0.0,0.0034698277291119496
apartment,0.008884348820516672,0.0077150343974532526
ape,0.0,0.0008674569322779874
apocalyptic,0.0,0.0008674569322779874
apollo,0.0,0.0004337284661389937
apologetic,0.0,0.0004337284661389937
apologetically,0.0,0.0004337284661389937
apologize,0.0006345963443226194,0.0003086013758981301
appal,0.0008919030196784362,0.0
appalling,0.0006345963443226194,0.0003086013758981301
appaloosas,0.0008919030196784362,0.0
apparatus,0.0,0.0008674569322779874
apparency,0.0008919030196784362,0.0
apparent,0.0006345963443226194,0.0024688110071850408
apparently,0.0019037890329678582,0.004320419262573822
apparition,0.0,0.0008674569322779874
appeal,0.0012691926886452389,0.0015430068794906506
appealing,0.0008919030196784362,0.0
appear,0.005076770754580955,0.008332237149249513
appearance,0.0025383853772904777,0.0018516082553887807
appease,0.0008919030196784362,0.0
appeasement,0.0008919030196784362,0.0
appetite,0.0,0.001301185398416981
appian,0.0008919030196784362,0.0
applause,0.0,0.0004337284661389937
appleby,0.0008919030196784362,0.0
applejack,0.0,0.0004337284661389937
appliance,0.0017838060393568723,0.0
applicable,0.0,0.0008674569322779874
applicant,0.0006345963443226194,0.0003086013758981301
application,0.0012691926886452389,0.0009258041276943903
apply,0.0025383853772904777,0.002777412383083171
appoint,0.0012691926886452389,0.0006172027517962602
appointment,0.0019037890329678582,0.0009258041276943903
appraisal,0.0008919030196784362,0.0
appraise,0.0,0.0004337284661389937
appraisingly,0.0,0.0004337284661389937
appreciate,0.0025383853772904777,0.0030860137589813013
appreciation,0.0,0.0008674569322779874
appreciatively,0.0,0.0008674569322779874
apprehend,0.0,0.0004337284661389937
apprehension,0.0,0.002602370796833962
apprehensively,0.0,0.001301185398416981
apprentice,0.0017838060393568723,0.0
apprenticeship,0.0008919030196784362,0.0
approach,0.006345963443226194,0.008332237149249513
appropriate,0.0,0.0004337284661389937
approval,0.0017838060393568723,0.0
approve,0.0,0.0004337284661389937
approvingly,0.0008919030196784362,0.0
approximate,0.0,0.0004337284661389937
approximation,0.0,0.0004337284661389937
april,0.0006345963443226194,0.0003086013758981301
apron,0.0006345963443226194,0.0012344055035925204
apt,0.0,0.0004337284661389937
aqua-lung,0.0008919030196784362,0.0
aquacutie,0.0,0.0004337284661389937
aquam,0.0,0.0004337284661389937
aqueduct,0.0008919030196784362,0.0
aquinas,0.0008919030196784362,0.0
arapacis,0.0,0.0008674569322779874
arbiter,0.0,0.0004337284661389937
arbitrary,0.0,0.0004337284661389937
arboreal,0.0,0.0004337284661389937
arbuckle,0.0,0.0021686423306949685
arbuckle's,0.0,0.0004337284661389937
arc,0.0012691926886452389,0.0003086013758981301
arch,0.004442174410258336,0.0003086013758981301
archangel,0.0,0.001301185398416981
archipelago,0.0,0.0008674569322779874
architect,0.0,0.0004337284661389937
arcilla,0.0008919030196784362,0.0
ardent,0.0,0.0004337284661389937
ardmore,0.0008919030196784362,0.0
are,0.0038075780659357164,0.0030860137589813013
area,0.0012691926886452389,0.0049376220143700815
areaway,0.0,0.0004337284661389937
aren't,0.0006345963443226194,0.0006172027517962602
arena,0.0,0.0004337284661389937
argot,0.0,0.0004337284661389937
argue,0.0025383853772904777,0.0012344055035925204
argument,0.0006345963443226194,0.0012344055035925204
ariadne,0.0,0.0008674569322779874
aricaras,0.0,0.0021686423306949685
arid,0.0008919030196784362,0.0
arise,0.0012691926886452389,0.0018516082553887807
aristide,0.0,0.0008674569322779874
aristocrat,0.0,0.0004337284661389937
aristocratic,0.0,0.0004337284661389937
arithmetic,0.0,0.0008674569322779874
arizona,0.0,0.0004337284661389937
arleigh,0.0,0.0004337284661389937
arlene,0.0,0.010409483187335849
arlene's,0.0,0.0004337284661389937
arm,0.012691926886452388,0.020676292185174718
arm's,0.0,0.0008674569322779874
armadillo,0.0,0.0008674569322779874
armchair,0.0,0.0004337284661389937
armed,0.0008919030196784362,0.0
armload,0.0008919030196784362,0.0
armoire,0.0,0.0004337284661389937
armor,0.0019037890329678582,0.0003086013758981301
armpit,0.0,0.0004337284661389937
arms,0.0008919030196784362,0.0
army,0.0019037890329678582,0.0015430068794906506
arnold,0.0,0.0004337284661389937
aroma,0.0,0.0008674569322779874
around,0.04315255141393812,0.05246223390268212
arouse,0.0006345963443226194,0.0009258041276943903
arrange,0.003172981721613097,0.0018516082553887807
arrangement,0.0019037890329678582,0.0015430068794906506
